published_year,crossref_type,code,name,total,avg_score,count_oa,count_gold,count_green,count_bronze,count_hybrid,count_doaj,count_diamond,count_green_only,count_green_only_ignoring_bronze,count_cc_licensed,mean_citations,mean_citations2y
2021,proceedings,hr,Croatian,2,0.2190842181444168,2,0,0,2,0,0,0,0,0,0,,
2021,book-chapter,hr,Croatian,483,0.305472118467648,85,55,4,30,55,0,0,0,2,55,1.1818181818181819,1.1818181818181819
2021,other,hr,Croatian,37,0.20209980917138023,6,3,0,3,3,0,0,0,0,3,1.0,1.0
2021,posted-content,hr,Croatian,11,0.35903143611821264,8,2,8,0,2,0,0,6,6,4,1.0,1.0
2021,book,hr,Croatian,24,0.5196175693223873,6,5,4,0,5,0,0,1,1,5,1.0,1.0
2021,monograph,hr,Croatian,11,0.5049593258987773,6,6,0,0,6,0,0,0,0,6,2.0,2.0
2021,reference-entry,hr,Croatian,26,0.2673393499392729,21,21,0,0,21,0,0,0,0,21,,
2021,proceedings-article,hr,Croatian,88,0.3616866306825118,66,26,0,40,26,0,0,0,0,26,1.0,1.0
2021,journal-article,hr,Croatian,2015,0.49599788532807293,1828,905,640,809,177,728,713,114,257,892,1.3749999999999998,1.3749999999999998
2021,component,hr,Croatian,1,0.6708025336265564,1,0,0,1,0,0,0,0,0,0,,
2021,monograph,cs,Czech,57,0.9170680987207515,29,2,1,27,2,0,0,0,0,2,,
2021,journal-issue,cs,Czech,1,0.47316867113113403,1,0,0,1,0,0,0,0,0,0,,
2021,posted-content,cs,Czech,1,0.999694287776947,1,0,1,0,0,0,0,1,1,0,,
2021,proceedings,cs,Czech,11,0.9177643169056285,6,1,0,5,1,0,0,0,0,1,,
2021,journal-article,cs,Czech,1715,0.8103562312510201,1483,908,44,575,402,506,454,0,5,908,1.2452830188679247,1.2452830188679247
2021,proceedings-article,cs,Czech,94,0.8031875766972278,91,42,2,49,42,0,0,0,2,42,2.0,2.0
2021,book,cs,Czech,29,0.7920118724477703,13,8,8,0,8,0,0,5,5,8,,
2021,dataset,cs,Czech,4,0.4615374878048897,2,2,0,0,2,0,0,0,0,2,,
2021,other,cs,Czech,9,0.31741711994012195,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,cs,Czech,334,0.3753132883704708,45,32,0,13,32,0,0,0,0,32,,
2021,reference-entry,cs,Czech,5,0.4184918314218521,0,0,0,0,0,0,0,0,0,0,,
2021,journal-article,da,Danish,904,0.6585428730329185,637,343,57,288,64,279,222,6,27,329,1.1250000000000002,1.1250000000000002
2021,book-chapter,da,Danish,191,0.349273749358991,6,1,1,4,1,0,0,1,1,2,,
2021,component,da,Danish,1,0.21395443379878998,0,0,0,0,0,0,0,0,0,0,,
2021,other,da,Danish,35,0.4985139193279402,11,9,2,1,9,0,0,1,1,10,,
2021,monograph,da,Danish,3,0.5239042118191719,1,1,0,0,1,0,0,0,0,1,,
2021,dataset,da,Danish,2,0.2668653801083565,1,1,0,0,1,0,0,0,0,1,,
2021,report,da,Danish,5,0.8994051456451416,0,0,0,0,0,0,0,0,0,0,,
2021,reference-entry,da,Danish,1,0.29587000608444214,1,1,0,0,1,0,0,0,0,1,,
2021,posted-content,da,Danish,1,0.08426672220230103,0,0,0,0,0,0,0,0,0,0,,
2021,book,da,Danish,26,0.580500564036461,11,8,3,0,8,0,0,3,3,8,1.0,1.0
2021,book-chapter,diq,Dimli,1,0.3227079212665558,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,dv,Divehi,1,0.05928223207592964,0,0,0,0,0,0,0,0,0,0,,
2021,book,nl,Dutch,88,0.7455444385043601,13,3,7,4,3,0,0,6,6,3,1.25,1.25
2021,dataset,nl,Dutch,142,0.3447066485147241,31,31,0,0,31,0,0,0,0,31,,
2021,monograph,nl,Dutch,73,0.7374168407835374,11,1,1,9,1,0,0,1,1,2,1.5,1.5
2021,proceedings-article,nl,Dutch,7,0.3648069479635784,4,2,1,1,2,0,0,1,1,2,,
2021,other,nl,Dutch,66,0.395686617516207,1,1,0,0,1,0,0,0,0,1,,
2021,peer-review,nl,Dutch,1,0.47353264689445496,1,0,0,1,0,0,0,0,0,0,,
2021,journal-issue,nl,Dutch,1,0.19175924360752106,0,0,0,0,0,0,0,0,0,0,,
2021,report-series,nl,Dutch,3,0.9812869429588318,3,0,2,2,0,0,0,1,2,1,,
2021,reference-entry,nl,Dutch,23,0.3684601077566976,13,13,0,0,13,0,0,0,0,13,,
2021,component,nl,Dutch,37,0.5299690285244503,15,0,3,13,0,0,0,2,3,0,,
2021,book-chapter,nl,Dutch,2148,0.5474328921389813,70,30,5,35,28,2,0,5,5,29,1.2499999999999998,1.1666666666666667
2021,report,nl,Dutch,331,0.8784610377877858,297,72,276,204,72,0,0,21,207,72,1.0,1.0
2021,journal-article,nl,Dutch,5412,0.8470709511895951,1311,516,495,638,256,260,242,157,355,530,1.3483146067415732,1.3258426966292138
2021,posted-content,nl,Dutch,33,0.8318160002430279,28,0,28,0,0,0,0,28,28,6,,
2021,journal-article,arz,Egyptian Arabic,545,0.6965074558597092,467,31,0,436,2,29,0,0,0,31,,
2021,book-chapter,arz,Egyptian Arabic,1,0.5856297016143799,0,0,0,0,0,0,0,0,0,0,,
2021,monograph,eml,Emiliano-Romagnolo,1,0.6405045986175537,0,0,0,0,0,0,0,0,0,0,,
2021,book-chapter,eml,Emiliano-Romagnolo,3,0.5716115285952886,0,0,0,0,0,0,0,0,0,0,,
2021,report,en,English,18516,0.7800233191473548,15203,4500,5754,6241,4500,0,0,4462,5555,4400,2.119345524542829,2.0933589990375356
2021,proceedings-article,en,English,395020,0.7998530999574822,111993,33965,38559,49363,31957,2008,850,28665,31602,36614,1.3739150039454409,1.3727313718859206
2021,book,en,English,37813,0.7390444045775321,3952,1213,3128,267,1212,1,1,2472,2501,2938,2.1448881455153668,2.0568680744302754
2021,monograph,en,English,19667,0.7426911328063106,2384,788,1253,782,788,0,0,814,918,1333,1.9851316907391658,1.960917587085812
2021,posted-content,en,English,237850,0.8998516006930326,202073,10573,200177,756,10572,1,1,190744,191472,149348,2.3595994971264354,2.359554597701148
2021,book-part,en,English,1834,0.6583416477747609,156,94,44,52,94,0,0,10,16,45,1.090909090909091,1.090909090909091
2021,report-series,en,English,963,0.8518820996256007,629,41,263,375,41,0,0,213,262,47,1.6306306306306306,1.6306306306306306
2021,reference-book,en,English,1182,0.7160907793418207,30,5,22,5,5,0,0,20,20,8,4.743362831858408,2.4336283185840704
2021,other,en,English,41888,0.7027080829057489,4528,321,420,3809,241,80,0,398,409,305,1.4086870681145116,1.3840078973346492
2021,journal-issue,en,English,902,0.7392091778935065,398,234,9,160,88,146,100,4,5,233,2.1333333333333333,2.1333333333333333
2021,book-section,en,English,24,0.6924176073322694,6,4,0,2,4,0,0,0,0,4,,
2021,,en,English,336,0.6916973931892286,18,14,1,3,14,0,0,1,1,14,1.0,1.0
2021,journal-article,en,English,4332056,0.8586207226296472,2496323,1616500,1192272,670879,556489,1060011,216299,208944,310607,1618045,3.347241969173416,3.313250249742069
2021,book-chapter,en,English,755051,0.7303367600912257,63246,24834,16043,25253,23319,1515,152,13159,14050,25921,1.5191864927091325,1.5002686108979282
2021,peer-review,en,English,86434,0.7898218802024898,32875,28956,33,3911,28956,0,0,8,12,28956,1.1009174311926606,1.1009174311926606
2021,dataset,en,English,49298,0.5885613701029745,24911,22740,113,2070,22737,3,0,101,104,22751,2.346296296296297,1.5166666666666668
